ITEM_NAME,ITEM_SIZE,ITEM_ID
AMERICANO,Size L,293
AMERICANO,Size M,292
AMERICANO,Size S,291
BANH MI NAM,B,5842
BANH MOUSSE CARAMEL CAM,B,14106
BANH MOUSSE XOAI-CHANH DAY,B,14107
BANH SUA CHUA DO,B,5880
BM CA RI GA,B,5831
CAPPUCCINO,Size L,305
CAPPUCCINO,Size M,304
CAPPUCCINO,Size S,303
CARAMEL MACCHIATO,Size L,311
CARAMEL MACCHIATO,Size M,310
CARAMEL MACCHIATO,Size S,309
CARAMEL PHIN FREEZE,Size L,314
CARAMEL PHIN FREEZE,Size M,313
CARAMEL PHIN FREEZE,Size S,312
CHOCOLATE,Size L,362
CHOCOLATE,Size M,361
CHOCOLATE,Size S,360
CLASSIC PHIN FREEZE,Size L,320
CLASSIC PHIN FREEZE,Size M,319
CLASSIC PHIN FREEZE,Size S,318
COOKIES CA PHE,B,14597
COOKIES HAT BI,B,14598
COOKIES TRA XANH,B,7899
COOKIES VANILA,B,7900
ESPRESSO,Size L,326
ESPRESSO,Size M,325
ESPRESSO,Size S,324
FREEZE SOCOLA,Size L,329
FREEZE SOCOLA,Size M,328
FREEZE SOCOLA,Size S,327
FREEZE TRA XANH,B,8401
LATTE,Size L,338
LATTE,Size M,337
LATTE,Size S,336
MOCHA,Size L,344
MOCHA,Size M,343
MOCHA,Size S,342
PHIN DEN DA,Size L,347
PHIN DEN DA,Size M,346
PHIN DEN DA,Size S,345
PHIN DEN NONG,Size L,350
PHIN DEN NONG,Size M,349
PHIN DEN NONG,Size S,348
PHIN HONG TRA,Size M,14581
PHIN SUA DA,Size L,353
PHIN SUA DA,Size M,352
PHIN SUA DA,Size S,351
PHIN SUA NONG,Size L,356
PHIN SUA NONG,Size M,355
PHIN SUA NONG,Size S,354
